dataset,feature,phi_utt,train_n,train_sd,test_se,joint_se_approx,joint_ci95_lo_approx,joint_ci95_hi_approx,assumption,utt_lo,utt_hi,utt_pos,joint_pos
brspeech,beats,0.0488491716875864,50,0.9509870665402298,0.0307110202398722,0.951482825641622,-1.8160571665699927,1.9137555099451653,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,-0.0111499908080189,0.1092372085322802,False,False
brspeech,auditory_erb,0.0513788281018004,50,2.586771747718104,0.0194006381814095,2.586844498526036,-5.01883638900923,5.12159404521283,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,0.0143285478192869,0.0903790494904123,True,False
brspeech,speaker,0.1201659923333755,50,1.3069423091650625,0.0236865428871063,1.3071569346484946,-2.4418615995776736,2.6821935842444247,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,0.0826200982151279,0.1754713463325849,True,False
brspeech,rmvpe_cont,0.0041731302452392,50,1.6182890979691025,0.0197755850814318,1.6184099228474111,-3.1679103185356867,3.176256579026165,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,-0.035916702824812,0.0416035906944008,False,False
brspeech,rmvpe_quant,-0.0033499142704487,50,9.867711908094837,0.0107185827697179,9.867717729504289,-19.34407666409885,19.337376835557954,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,-0.01936558839236,0.0226512560649344,False,False
brspeech,ced,0.1242963011463594,50,0.712446599974968,0.0303554048096128,0.7130929872162869,-1.273365953797563,1.5219585560902815,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,0.0645493453559956,0.1835425322096779,True,False
bvcc,auditory_erb,0.0231557485873749,50,0.0036159871598212,0.0066141868077832,0.0075380919514321,0.0083810883625679,0.0379304088121819,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,0.0116482242714638,0.0375758365579741,True,True
bvcc,rmvpe_cont,0.0067889668954615,50,0.0019234503780953,0.0031020310842368,0.0036499668771876,-0.0003649681838263,0.0139429019747493,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,0.000954775895871,0.0131147377460796,True,False
bvcc,rmvpe_quant,0.0033863461246304,50,0.0028653712144713,0.0027855576322495,0.0039962086431147,-0.0044462228158745,0.0112189150651353,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,-0.0019076108635658,0.0090117750548526,False,False
bvcc,egemaps,0.0499943334078764,50,0.0037993189205404,0.0089751523183211,0.0097461881470163,0.0308918046397243,0.0690968621760285,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,0.0332102151987628,0.0683928122865818,True,True
singmos,auditory_erb,0.0180568906147349,50,0.0078818248654255,0.0057690538314872,0.0097675557495126,-0.0010875186543098,0.0372012998837796,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,0.006455748814453,0.0290704398338829,True,False
singmos,rmvpe_cont,0.0111100055314321,50,0.005543431823547,0.0033175854501018,0.0064603412913747,-0.0015522633996623,0.0237722744625265,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,0.0047135490225675,0.0177184839869669,True,False
singmos,rmvpe_quant,0.0027011972363721,50,0.018165819908464,0.0065866187260525,0.019323057708063,-0.0351719958714314,0.0405743903441756,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,-0.0115742418854959,0.0142453035206302,False,False
tmhintqi,auditory_erb,0.0221572798267956,50,0.0035229852894771,0.0077286717961814,0.0084937502366718,0.0055095293629187,0.0388050302906724,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,0.0083652310185346,0.0386616244595658,True,True
tmhintqi,rmvpe_cont,0.0023433231040376,50,0.0017836291136822,0.0008333234362415,0.0019686951934121,-0.0015153194750502,0.0062019656831254,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,0.0007592386082194,0.0040258664782861,True,False
tmhintqi,rmvpe_quant,0.003210621525143,50,0.0073068474260462,0.0030463975015093,0.0079164737759131,-0.0123056670756468,0.0187269101259328,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,-0.002829864622821,0.0091120135830958,False,False
tmhintqi,egemaps,0.06949048836594,50,0.0049144230618226,0.0270929341069166,0.0275350437180023,0.0155218026786553,0.1234591740532246,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI,0.0255694289011218,0.1317737306002351,True,True
