dataset,feature,phi_utt,train_n,train_sd,test_se,joint_se_approx,joint_ci95_lo_approx,joint_ci95_hi_approx,assumption
brspeech,whisper,-0.0486038394349953,50,0.9294946861262485,0.04430024712502,0.9305497748279083,-1.8724813980976955,1.775273719227705,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
brspeech,contentvec12,0.0884787982737205,50,0.8879287870320101,0.04518576852779523,0.8890777719173865,-1.654113634684357,1.831071231231798,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
brspeech,wavlm,0.1294953413915447,50,0.6658971651583723,0.041816804021029164,0.6672088725912522,-1.1782340488873095,1.437224731670399,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
brspeech,beats,0.0488491716875864,50,0.9509870665402298,0.030711020239872218,0.951482825641622,-1.8160571665699927,1.9137555099451653,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
brspeech,auditory_erb,0.0513788281018004,50,2.5867717477181036,0.01940063818140954,2.5868444985260357,-5.01883638900923,5.12159404521283,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
brspeech,speaker,0.1201659923333755,50,1.3069423091650625,0.02368654288710638,1.3071569346484946,-2.4418615995776736,2.6821935842444247,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
brspeech,rmvpe_cont,0.0041731302452392,50,1.6182890979691023,0.01977558508143184,1.6184099228474111,-3.1679103185356867,3.176256579026165,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
brspeech,rmvpe_quant,-0.0033499142704487,50,9.867711908094837,0.01071858276971796,9.867717729504287,-19.34407666409885,19.337376835557954,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
brspeech,ced,0.1242963011463594,50,0.712446599974968,0.03035540480961283,0.7130929872162869,-1.273365953797563,1.5219585560902817,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
brspeech,egemaps,0.1692932875149141,50,1.6240570843934736,0.05945704618287546,1.6251450869720596,-3.0159910829503227,3.354577657980151,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
bvcc,whisper,0.0656409766500212,50,0.00832023080396914,0.01186487543902694,0.014491428839660418,0.037237776124286776,0.09404417717575561,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
bvcc,contentvec12,0.0794300185706519,50,0.0040252507458185165,0.011677649635130793,0.0123519287792467,0.05522023816332837,0.10363979897797544,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
bvcc,wavlm,0.0938985319548183,50,0.005837876974461988,0.012442327172654364,0.01374380998996736,0.06696066437448228,0.12083639953515432,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
bvcc,beats,0.113699189287165,50,0.005733130228144494,0.012930430136775485,0.014144426666885293,0.08597611302006983,0.14142226555426018,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
bvcc,auditory_erb,0.0231557485873749,50,0.0036159871598212584,0.006614186807783239,0.0075380919514321425,0.0083810883625679,0.0379304088121819,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
bvcc,speaker,0.0857772467910995,50,0.005098781236811361,0.011897049659307348,0.012943622394711795,0.06040774689746439,0.11114674668473462,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
bvcc,rmvpe_cont,0.0067889668954615,50,0.0019234503780953562,0.0031020310842368878,0.0036499668771876616,-0.00036496818382631725,0.013942901974749317,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
bvcc,rmvpe_quant,0.0033863461246304,50,0.0028653712144713858,0.002785557632249592,0.003996208643114768,-0.004446222815874546,0.011218915065135346,var_train(n=50)+var_test independent approx; train/test systems overlap so not a formal joint CI
